ID,YEAR,MONTH,SUPPLIER,ITEM_CODE,ITEM_DESCRIPTION,ITEM_TYPE,RETAIL_SALES,RETAIL_TRANSFERS,WAREHOUSE_SALES
1252,2020,1,GRAPES OF SPAIN INC,232900,BOVALE ROSE - 750ML,WINE,0.0,0.0,2.0
1253,2020,1,MONSIEUR TOUTON SELECTION,232910,VECCHIO MARONE - 750ML,WINE,0.0,0.0,1.0
1254,2020,1,MONSIEUR TOUTON SELECTION,232914,RES DURAND S/BLC - 750ML,WINE,0.0,0.0,5.0
1255,2020,1,PRESTIGE BEVERAGE GROUP OF MD LLC,232934,FOUNDING SPIRITS RYE WHISKEY - 750ML,LIQUOR,0.0,0.0,1.0
1256,2020,1,PRESTIGE BEVERAGE GROUP OF MD LLC,232946,HAKUTSURU SUP JUNMAI GINJO SAKE - 300ML,WINE,0.0,0.0,1.0
1257,2020,1,PRESTIGE BEVERAGE GROUP OF MD LLC,232948,HAKUTSURU SHO-UNE PREM JUNMAI DAI GINJO SAKE - 720ML,WINE,0.33,2.0,0.0
1258,2020,1,KYSELA PERE ET FILS LTD,232950,LEXICON S/BLC - 750ML,WINE,0.0,0.0,4.0
1259,2020,1,MONSIEUR TOUTON SELECTION,232954,CH MONTAUD ROSE COTES DE PROV BIB- 3L,WINE,0.0,0.0,1.0
1260,2020,1,ELITE WINES IMPORTS,232962,AVERAEN WILLAMETTE VLY P/NOIR - 750ML,WINE,0.0,0.0,1.0
1261,2020,1,PUNTO VINO LLC,232970,ALAIA MARISA - 750ML,WINE,0.08,0.0,0.0
1262,2020,1,MONSIEUR TOUTON SELECTION,232974,RUBY RED CARBONATED ROSE FIRST PRESS - 750ML,WINE,0.25,1.0,2.0
1263,2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,232996,CROWDED HOUSE S/BLC - 750ML,WINE,0.57,0.0,1.0
1264,2020,1,WASHBURN WINE CO,2330,COOPERS PALE ALE 4/6 NR - 12OZ,BEER,0.0,0.0,3.0
1265,2020,1,MONSIEUR TOUTON SELECTION,233008,MAISON DE LA VILLETTE VIOG - 750ML,WINE,1.06,1.0,4.0
1266,2020,1,MONSIEUR TOUTON SELECTION,233010,BROTTE CREATION GROSSET CDR VILLAGES CAIRANNE - 750ML,WINE,0.0,0.0,5.0
1267,2020,1,ANHEUSER BUSCH INC,23307,MICHELOB ULTRA 24/12 PREPRINT LSE-NR,BEER,23.0,32.0,363.96
1268,2020,1,BACCHUS IMPORTERS LTD,233082,AVALON RED BLEND - 750ML,WINE,0.0,0.0,7.0
1269,2020,1,MONSIEUR TOUTON SELECTION,233106,FAMIGLIA CASTELLANI CHN COLLI SENESI - 750ML,WINE,0.0,0.0,1.0
1270,2020,1,MONSIEUR TOUTON SELECTION,233120,CH MONTAUD ROSE C'PROV - 750ML,WINE,0.0,0.0,6.0
1271,2020,1,CROWN IMPORTS,23314,CORONA EXTRA 18PK NR - 12OZ,BEER,2.0,2.0,3488.0
1272,2020,1,ELITE WINES IMPORTS,233152,COLLOSORBO BRUN-MONTAL 12 - 750ML,WINE,0.0,1.0,0.0
1273,2020,1,PABST BREWING CO,23316,PABST 4/6 CANS - 16OZ,BEER,0.0,0.0,210.92
1274,2020,1,PUNTO VINO LLC,233168,STEININGER ROSE OF CAB - 750ML,WINE,0.0,0.0,3.0
1275,2020,1,CROWN IMPORTS,23318,MODELO ESPECIAL 18PK CAN - 12OZ,BEER,0.0,0.0,1878.0
1276,2020,1,MONSIEUR TOUTON SELECTION,233180,LES DAUPHINS CDR VILLAGES ORG - 750ML,WINE,0.0,0.0,2.0
1277,2020,1,SIERRA NEVADA BREWING CO,23320,SIERRA NEVADA TORPEDO ALE 4/6 NR - 12OZ,BEER,39.75,45.0,171.0
1278,2020,1,GRAPES OF SPAIN INC,233220,CYGNUS BRUT CAVA ORG - 750ML,WINE,0.0,0.0,6.0
1279,2020,1,GRAPES OF SPAIN INC,233222,U MES U FAN TRES BRUT ROSE CAVA - 750ML,WINE,0.0,0.0,2.0
1280,2020,1,BACCHUS IMPORTERS LTD,233224,CUVEE JEAN-LOUIS ICE BDB MY PARIS SECRET - 750ML,WINE,0.0,0.0,1.0
1281,2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,233228,GEMMA DI LUNA SPARK MOSCATO - 750ML,WINE,5.92,10.0,15.0
1282,2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,233230,JAM CELLARS TOAST SPARK - 750ML,WINE,0.0,0.0,1.0
1283,2020,1,DMV DISTRIBUTING LLC,233234,CASA SANTOS LIMA COLOSSAL RESA - 750ML,WINE,0.0,0.0,15.0
1284,2020,1,CROWN IMPORTS,23324,CORONA LIGHT 18PK NR - 12OZ,BEER,0.0,0.0,51.0
1285,2020,1,LEGENDS LTD,23325,GOLDEN PHEASANT 5/4 NR - 16.9OZ,BEER,0.0,0.0,3.0
1286,2020,1,PRESTIGE BEVERAGE GROUP OF MD LLC,233268,86 COMPANY AYLESBURY DUCK VODKA - 1L,LIQUOR,0.17,0.0,0.0
1287,2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,233286,HOUSE WINE ROSE CAN                471783 - 355ML,WINE,0.0,0.0,1.0
1288,2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,233288,HOUSE WINE CHARD CAN             471790 - 355ML,WINE,0.0,0.0,3.0
1289,2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,233290,HOUSE WINE RED BLEND CAN     471787  - 355ML,WINE,0.0,0.0,3.0
1290,2020,1,PUNTO VINO LLC,233308,CASA BELLA LAMB DOLCE - 750ML,WINE,0.0,0.0,3.0
1291,2020,1,DMV DISTRIBUTING LLC,233310,PAMPELONNE BLOOD ORANGE SPRITZ CAN - 250ML,WINE,0.0,0.0,2.0
1292,2020,1,MONSIEUR TOUTON SELECTION,233314,DOM DE LA CHANADE-LES RIALS - 750ML,WINE,0.0,0.0,1.0
1293,2020,1,MONSIEUR TOUTON SELECTION,233318,MARGARETT'S VYD MER - 750ML,WINE,0.0,0.0,1.0
1294,2020,1,PWSWN INC,233330,BULGARIANA ROSE - 750ML,WINE,0.16,0.0,0.0
1295,2020,1,CONSTELLATION BRANDS,23353,REX GOLIATH MER - 750ML,WINE,0.58,0.0,0.0
1296,2020,1,BOSTON BEER CORPORATION,23355,TWISTED TEA CANS - 24OZ,BEER,0.0,0.0,141.0
1297,2020,1,ANHEUSER BUSCH INC,23357,KONA LONGBOARD 4/6 NR - 12OZ,BEER,12.0,12.0,83.0
1298,2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,233574,CHAVO MALO TEQ BLANCO - 1L,LIQUOR,0.0,0.0,8.0
1299,2020,1,ANHEUSER BUSCH INC,23358,KONA FIREROCK 4/6 NR - 12OZ,BEER,2.0,0.0,0.0
1300,2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,233580,STRAIGHT SHOOTER W/V P/NOIR - 750ML,WINE,0.0,0.0,2.0
1301,2020,1,CONSTANTINE WINES INC,233582,SEA MONSTER ECLECTIC WHITE - 750ML,WINE,0.0,0.0,2.0
1302,2020,1,PUNTO VINO LLC,233634,VENTURINI BALDINI QUARANTA LAMB SPUM EX BRUT - 750ML,WINE,0.17,0.0,0.0
1303,2020,1,PUNTO VINO LLC,233638,VENTURINI BALDINI RUBINO DEL CERRO LAMB SPUM BRUT - 750ML,WINE,0.0,0.0,1.0
1304,2020,1,ANHEUSER BUSCH INC,23364,LANDSHARK LAGER 1/6K,KEGS,0.0,0.0,4.0
1305,2020,1,FOWLES WINE USA INC,233666,FARM TO TABLE P/NOIR - 750ML,WINE,0.0,0.0,1.0
1306,2020,1,PUNTO VINO LLC,233722,ALCESTI BIBESIA CHARD - 750ML,WINE,0.0,0.0,2.0
1307,2020,1,BACCHUS IMPORTERS LTD,233738,LA NEVERA TINTO SEL ESP BIB - 3L,WINE,0.0,0.0,1.0
1308,2020,1,BACCHUS IMPORTERS LTD,233740,LA NEVERA BLANCO SEL ESP BIB - 3L,WINE,0.0,0.0,2.0
1309,2020,1,MONSIEUR TOUTON SELECTION,233744,PETIT BOURGEOIS CAB/FR  - 750ML,WINE,0.0,0.0,1.0
1310,2020,1,GRAPES OF SPAIN INC,233780,LEGADO DE MONCAYO DRY MUSCAT - 750ML,WINE,0.0,0.0,2.0
1311,2020,1,DMV DISTRIBUTING LLC,233816,PAMPELONNE FRENCH 75 6X4 CAN - 250ML,WINE,0.0,0.0,1.0
1312,2020,1,DIAGEO NORTH AMERICA INC,233848,SMIRNOFF SPARKSLZ PARTY PACK 2/12 CAN,BEER,27.5,36.0,28.0
1313,2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,233864,OLD SOUL LODI P/NOIR - 750ML,WINE,0.0,0.0,14.0
1314,2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,233868,LA CREMA KELLIANN VYD CHARD - 750ML,WINE,0.84,0.0,0.0
1315,2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,233870,LA CREMA FOG VEIL P/NOIR - 750ML,WINE,0.0,1.0,0.0
1316,2020,1,FREIXENET MIONETTO USA INC,233894,GLORIA FERRER BRUT ROSE - 750ML,WINE,0.24,0.0,0.0
1317,2020,1,PRESTIGE BEVERAGE GROUP OF MD LLC,233896,CAFFO ANISETTE DI CALABRIA - 750ML,LIQUOR,0.33,1.0,0.0
1318,2020,1,NICKOLAS IMPORTS LLC,233898,9 MUSES CHARD - 750ML,WINE,0.0,0.0,1.0
1319,2020,1,KYSELA PERE ET FILS LTD,233900,CH MALTUS LALANDE DE POMEROL - 750ML,WINE,0.17,0.0,0.0
1320,2020,1,ELITE WINES IMPORTS,233914,ABADAL CAB FRANC TEMPRANILLO - 750ML,WINE,0.0,0.0,2.0
1321,2020,1,PUNTO VINO LLC,233920,CHEV FAMAEY MALB C' DU LOT - 750ML,WINE,0.0,0.0,6.0
1322,2020,1,BOSTON BEER CORPORATION,23397,SAM ADAMS FALL VARIETY 12PK-NR,BEER,1.0,0.0,0.0
1323,2020,1,DMV DISTRIBUTING LLC,233976,PARIS VALLEY ROAD ZINF - 750ML,WINE,0.0,0.0,1.0
1324,2020,1,PWSWN INC,233978,FIUZA 3 CASTAS NATURE SPARK ROSE - 750ML,WINE,0.0,0.0,1.0
1325,2020,1,PWSWN INC,233982,BARON MAXIME FRENCH COLOMBARD - 750ML,WINE,0.0,0.0,2.0
1326,2020,1,MONSIEUR TOUTON SELECTION,233988,CH LYONNAT LUSSAC ST EMILION - 750ML,WINE,0.0,0.0,1.0
1327,2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,234002,HOUSE WINE ROSE BIB - 3L,WINE,0.0,0.0,3.0
1328,2020,1,PWSWN INC,234018,ROUGH DAY CAB - 750ML,WINE,11.75,13.0,37.0
1329,2020,1,PWSWN INC,234020,ROUGH DAY CHARD - 750ML,WINE,4.59,4.0,20.0
1330,2020,1,MONSIEUR TOUTON SELECTION,234028,BELLINI CIPRIANI - 750ML,WINE,0.0,0.0,3.0
1331,2020,1,DMV DISTRIBUTING LLC,234030,SENORIO DE LA ANTIGUA MENCIA FINCA CABANELA - 750ML,WINE,0.0,0.0,3.0
1332,2020,1,DANGEROUS WINE GROUP LLC,234036,BOTAS DE BARRO GARNACHA (DIRTY BOOTS) - 750ML,WINE,0.16,0.0,0.0
1333,2020,1,KYSELA PERE ET FILS LTD,234038,DR LEIMBROCK EST RIES - 750ML,WINE,0.0,0.0,1.0
1334,2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,234058,CH LASSEGUE ST EMILION GR CRU - 750ML,WINE,0.0,0.0,1.0
1335,2020,1,PRESTIGE BEVERAGE GROUP OF MD LLC,234070,TOHU S/BLC - 750ML,WINE,0.0,0.0,1.0
1336,2020,1,PUNTO VINO LLC,234076,PAUL DIREDER GRUNER VELT - 1/6K,WINE,0.0,0.0,3.0
1337,2020,1,KYSELA PERE ET FILS LTD,234080,GIORGIOZ P/GRIG - 750ML,WINE,0.0,0.0,1.0
1338,2020,1,MONSIEUR TOUTON SELECTION,234082,KATHERINE GOLDSCHMIDT CRAZY CREEK A/V CAB - 750ML,WINE,0.0,0.0,1.0
1339,2020,1,CONSTANTINE WINES INC,234102,BOGLE VYDS PHANTOM CHARD - 750ML,WINE,0.0,0.0,6.0
1340,2020,1,MONSIEUR TOUTON SELECTION,234106,UNORTHODOX KOS S/BLC - 750ML,WINE,0.0,0.0,1.0
1341,2020,1,KYSELA PERE ET FILS LTD,234108,RIEBEEK CELLARS SHIRAZ - 750ML,WINE,0.0,0.0,1.0
1342,2020,1,ELITE WINES IMPORTS,234148,CH LE SEUIL DE MAZEYRES - 750ML,WINE,0.0,0.0,1.0
1343,2020,1,MILLER BREWING COMPANY,23416,MILWAUKEE BEST ICE CANS - 24OZ,BEER,0.0,0.0,552.83
1344,2020,1,MONSIEUR TOUTON SELECTION,234174,FAMIGLIA CASTELLANI VERM TOSC COLLESANO - 750ML,WINE,0.0,0.0,1.0
1345,2020,1,ELITE WINES IMPORTS,234180,PUNZI CHIANTI - 750ML,WINE,0.0,0.0,3.0
1346,2020,1,MACK & SCHUHLE INC,234186,CASA GIACONDI P/GRIG - 750ML,WINE,0.0,0.0,3.0
1347,2020,1,MONSIEUR TOUTON SELECTION,234198,RIO LINDO SYRAH - 750ML,WINE,0.0,0.0,2.0
1348,2020,1,DIAGEO NORTH AMERICA INC,23422,SMIRNOFF ICE MANGO 4/6 NR - 11.2OZ,BEER,16.79,19.0,153.0
1349,2020,1,VIGNOBLES LVDH USA INC,234246,VINOGALLIA ROSSO - 750ML,WINE,0.0,0.0,3.0
1350,2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,234250,STONESTREET ESTATE A/V CHARD - 750ML,WINE,0.17,0.0,0.0
1351,2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,23426,D'ARENBERG STUMP JUMP GSM RED - 750ML,WINE,0.08,0.0,3.0
1352,2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,234266,SANTA GIULIANA TREVISO PROSECCO - 750ML,WINE,0.0,0.0,12.0
